Station,Year,Month,Day,Hour,Minute,Second,Variable,Value,Units,DetectionLimit,ResultLetter
ELK RIVER ABOVE HIGHWAY 93,1984,1,1,14,34,10,Nitrogen Dissolved,0.145,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1985,1,1,14,34,10,Nitrogen Dissolved,0.115,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1986,1,1,14,34,10,Nitrogen Dissolved,0.086,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1987,1,1,14,34,10,Nitrogen Dissolved,0.185,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1988,1,1,14,34,10,Nitrogen Dissolved,0.21,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1989,1,1,14,34,10,Nitrogen Dissolved,0.2,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1990,1,1,14,34,10,Nitrogen Dissolved,0.175,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1991,1,1,14,34,10,Nitrogen Dissolved,0.099,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1992,1,1,14,34,10,Nitrogen Dissolved,0.205,mg/L,NA,NA
ELK RIVER ABOVE HIGHWAY 93,1993,1,1,14,34,10,Nitrogen Dissolved,0.11,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1994,1,1,14,34,10,Nitrogen Dissolved,0.15,mg/L,NA,NA
ELK RIVER ABOVE HIGHWAY 93,1995,1,1,14,34,10,Nitrogen Dissolved,0.5,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1996,1,1,14,34,10,Nitrogen Dissolved,0.13,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1997,1,1,14,34,10,Nitrogen Dissolved,0.12,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,1998,1,1,14,34,10,Nitrogen Dissolved,0.12,mg/L,NA,NA
ELK RIVER ABOVE HIGHWAY 93,1999,1,1,14,34,10,Nitrogen Dissolved,0.25,mg/L,NA,NA
ELK RIVER ABOVE HIGHWAY 93,2000,1,1,14,34,10,Nitrogen Dissolved,0.38,mg/L,NA,NA
COLUMBIA RIVER @ BIRCHBANK,2001,1,1,14,34,10,Nitrogen Dissolved,0.083,mg/L,NA,NA
ELK RIVER ABOVE HIGHWAY 93,2002,1,1,14,34,10,Nitrogen Dissolved,0.11,mg/L,NA,NA